ID	text
17172	"​Defunding Unconstitutional Executive Order Banning Refugees: No funds, resources, or fees made available by the United States Congress to any Federal agency may be used to implement, administer, enforce, or carry out (including through the issuance of any regulations) any of the policy changes set forth in the Executive Order titled ""Protecting the Nation from Foreign Terrorist Entry into the United States"" signed by President Donald J. Trump on January 27, 2017.""Statute of Liberty Values Act"" (SOLVe): States that President Trump's Executive Order will have no effect or force of law and states that no funds or fees shall be used to implement the Order"
12183	 Fixing this problem begins with workforce development. I will continue to focus on closing the skills gap that holds back our workforce and hinders business growth through a renewed focus on technical education and post-secondary credentials. This will put more Americans to work and keep our 21st-Century economy competitive and growing
3512	" I will continue to support policies that protect our troops, their families, and our nation. And we must make good on our promise to help our fighting men and women when they return home; we owe them much more than a ""thank you for your service,"" we owe them real actions to provide meaningful support. The federal government must live up to its responsibilities to properly support those who served in our armed forces and their families"
1533	"  Even many of Congress's ""feel-good"" bills overstep our federal authority and have turned into a takeover of states' 10th Amendment rights. It is time for Congress to practice some self-restraint and work within the bounds of the Constitution.When running for office, I also promised my constituents that I would fight to achieve six major goals in Congress"
10097	57 KB) DEFENSE ACCESS ROADS III Recipient: Department of Defense/ Military ConstructionLocation: Guam Highway 1 (Marine Corps Drive)Amount: $50,000,000Justification:If this project is not provided, there will be an increased rate of deterioration of the roads, bridges and utilities, with high risk of failure. In some situations, (i.e
15774	" I’m fighting to make sure our border is fully funded in smart and efficient ways. Creating a Path to Citizenship Every day, I have conversations with House Republicans and just about all of them agree we need to protect our border and process asylum claims more efficiently, so those who are fleeing violence and persecution can come here to live, work, pay taxes, and strengthen our economy. I have helped craft a framework to protect our border, support our economy, and provide a pathway to citizenship"
12471	5 billion to rebuild Maine’s roads and bridges, the Bipartisan Infrastructure Law, which Jared voted for in 2021, dedicated over $100 million to high-speed internet expansion – an effort Jared has continued to focus on as part of the House Rural Broadband Task Force.Jared knows Maine small businesses also need qualified, experienced workers, and he’s working to meet that need by improving the skills of Maine’s workforce through training and apprenticeship programs. Alongside this, he is fighting the types of federal regulations and private sector practices that work against small businesses – recently pushing for congressional action on Right to Repair legislation
4478	 I am committed to supporting law and order in our country and working to keep our communities safe. In recent years, our nation has seen an unprecedented spike in murders, particularly in cities where there were efforts to defund or undermine our law enforcement officers. Although reforms are needed to ensure safer interactions with the police, defunding law enforcement is certainly not a viable option, and stripping them of their ability to keep us safe is a dangerous path for our nation
21693	R. 4474).Introduced H
4555	“Immigrants are making tremendous contributions to our economy and military here in our region. As the son of immigrants, I’ve worked across party lines for bipartisan immigration solutions that secure our border, protect workers and business, and include an earned pathway to citizenship for families and Dreamers who are working and contributing to our country.”- Congressman Raul Ruiz, M
