ID	Label	Text
4061	Loaded Language	Zoe will continue to support federal efforts to make housing more affordable.A Stronger, Innovative Economy for the 21st CenturyAs the elected Chair of the 39-member California Democratic Congressional Delegation, Zoe has worked with her colleagues to help California with investments in infrastructure, transportation, and clean American energy programs that put people to work in jobs that can't be sent overseas.Zoe has also proposed legislation to ensure a free and open Internet that boosts U
13057	Loaded Language	These violations of due process are not accidental. They are deliberate actions that undermine the rule of law. According to the Cato Institute, dozens of Venezuelan migrants who arrived in the United States legally and never violated immigration laws were still detained, deported, and imprisoned in El Salvador
4423	Loaded Language	"""Â We passed the REMOVE Copays Act so we can reduce out-of-pocket expensesÂ for vets seeking MH or substance abuse treatmentÂ by allowing vets to attain copay-free services throughÂ VA and community providers for their first three outpatient visits each year. We made landmark progress to protect survivors of sexual violence, byÂ directing the VA to work with agencies to do studiesÂ on outcomes from VA examinations and onÂ mental health conditions related to military sexual trauma.Â We passed the GI Bill Guard and Reserve Parity Act thatÂ ensures that reservists get credit for their drills towardÂ 9/11 GI Bill benefits and obtaining VA home loans"""
15890	Loaded Language	 These brave men and women and their families sacrificed so much to protect us and our freedom. It is our duty to ensure that we take care of them when they return home, many with injuries, visible and invisible. Nellis and Creech Air Force Bases establish a significant active-duty military footprint here in southern Nevada
13994	No Propaganda	 Additionally, any U.S. foreign policy initiative should protect our freedoms at home and abroad
5154	No Propaganda	As we continue working to pass comprehensive legislation, I have worked with my colleagues to pass smaller bills that would provide immediate relief to students. In 2017, I introduced theAll-Year Access Act with Rep. Lucille Roybal-Allard (D-CA) to restore the year-round Pell Grant eligibility which was eliminated in 2011
4478	Appeal to Fear	I am committed to supporting law and order in our country and working to keep our communities safe. In recent years, our nation has seen an unprecedented spike in murders, particularly in cities where there were efforts to defund or undermine our law enforcement officers. Although reforms are needed to ensure safer interactions with the police, defunding law enforcement is certainly not a viable option, and stripping them of their ability to keep us safe is a dangerous path for our nation
14575	No Propaganda	In Crisis? An opioid overdose requires immediate medical attention. Please call 911 immediately if you or someone you know is in immediate danger.  If you are someone you know is experiencing a suicidal, substance use and/or mental health crisis, or any other kind of emotional distress, help is available 24/7 at the 988 Suicide & Crisis Lifeline
12836	No Propaganda	H.R. 2550, the Protect America's Workforce Act, seeks to safeguard the benefits promised to federal workers
7218	No Propaganda	There’s not single path that’s right for everyone. I support policies that promote and expand access to career technical pathways that provide low cost options to graduating high school seniors and support our local economy.Finally, I will fight to empower families by breaking down barriers and improving transparency to protect parental rights
10541	No Propaganda	 I introduced important legislation to provide local law enforcement with support to purchase gunfire detection technology. I am committed to using technology as a positive instrument in our society and workforce while protecting important civil liberties.
17488	No Propaganda	I launched the C.A.R
5437	No Propaganda	The Security First Act (H.R. 163) – I am a cosponsor of this legislation which provides additional resources for law enforcement through Operation Stonegarden, a grant program that allows local law enforcement to assist border patrol efforts at the southern border
13494	Loaded Language	 The majority of immigrants make our country better, stronger, and more competitive every day. Thatâ€™s why I am such a proud supporter of the Deferred Action for Childhood Arrival (DACA) program and the DREAM Act to provide them with a clear pathway to citizenship. We need people of all skill levels to fill vacant jobs and keep our economy heading in the right direction
4360	No Propaganda	  By 2025, this will move to a flat $2,000 cap on out-of-pocket prescription drug costs, saving nearly 19 million seniors an average of $400 a year. No Cost Vaccine Coverage - Recommended vaccines are now covered under Medicare without cost-sharing. That means no out-of-pocket cost for vaccines to prevent shingles, tetanus, hepatitis, COVID-19, and flu
4976	Appeal to Fear	We must never allow the events of January 6, 2021, to be repeated, which is why I joined my colleagues on a bipartisan basis in the 117th Congress to overhaul the Electoral Count Act of 1887 and decrease the likelihood of another January 6-like attack on our democracy.Equality ActDiscrimination of any kind is unacceptable, and that includes prejudice against the Lesbian, Gay, Bisexual, Transgender, and Questioning or Queer (LGBTQ+) community that unfortunately still runs rampant nationwide. I know we are better than this, and I know we can do more to ensure a brighter future for everyone, no matter who they love
9670	No Propaganda	As a Member of Congress, Congresswoman Wilson is deeply committed to protecting Social Security. This means she will vote against any measure to privatize the program, cut benefits, or increase the eligibility age. As a core commitment, Congresswoman Wilson believes Social Security recipients should be entitled to maintain their purchasing power
11774	No Propaganda	Throughout his career, Congressman Mrvan has worked to identify federal, state, local, private and nonprofit resources that allow Northwest Indiana residents to get a good-paying job, take care of their family, and succeed in a career that allows them to have a good quality of life. In the 119th Congress, he will continue to use his years of experience to work with all stakeholders to create more economic opportunities for everyone and help retain and attract investments to Indiana’s First Congressional District.Rep
23201	Loaded Language	" I believe in an ""all-of-the-above"" approach to energy production, including hydropower, wind, solar, nuclear, natural gas, and oil, to ensure reliable, safe, and affordable power. I oppose carbon taxes and cap-and-trade programs, since they increase costs without delivering significant benefits."
5483	Loaded Language	I believe that Congress should encourage a full discussion and act on fundamental tax reform. Whether it is a flat income tax, a national sales tax or another idea, I will support a tax plan which provides fairness to the taxpayer and makes the system less complicated.I have consistently voted for lower taxes, and will continue to do so
9342	No Propaganda	Community Health CentersAdditionally, Congressman Bilirakis's Community CARE Act which reauthorized community health centers nationally for two years was included as part of the CHAMPIONING HEALTHY KIDS Act and signed into law. The Reauthorizing and Extending America's Community Health (or REACH) Act was also signed into law.  It  included a 4-year reauthorization of Community Health Centers - the longest in program history
9369	Loaded Language	It has already led to the development of a generic competitor for the EpiPen, which was desperately needed as the manufacturer spiked the rate of that life-saving medicine due to lack of competition. To date, Bilirakis's provision has led to the development of more  than 200 various therapies for which there wasn't previously a generic competitor.Additionally, Congressman Bilirakis joined his colleagues last Congress in introducing H
21345	Loaded Language	I also sponsored the TCJA Permanency Act, legislation to keep more money in Americans' wallets by making permanent the tax cuts for families and small businesses enacted in 2017.Inflation is a tax on all Americans. I will continue working to ensure taxpayers' hard-earned dollars are spent wisely and cast votes in favor of economic opportunity and American job growth
3806	Loaded Language	 Enrico Moretti, a Berkeley economist, found that for every tech job, five other new jobs are created. This multiplier effect creates important service jobs such as baristas, doctors, lawyers, and dry cleaners, among many others. I believe that working families are the backbone of this country, and that's why I have made lifting them up a central part of my agenda
13100	Name Calling	Regrettably, President Trump has expressed his wish to claw back unobligated funding for housing and rental assistance from the American Rescue Plan Act (ARPA) and the Inflation Reduction Act (IRA). This would include the Emergency Rental Assistance Program (ERAP), Homeowner Assistance Fund (HAF), Affordable Housing Program (HOME-ARP), and Residential Energy Programs. To date, these programs have provided over 800 housing vouchers to Marylanders, brought $55 million in housing grants to Prince George’s County, and put a roof over the heads of hundreds of my constituents
7627	No Propaganda	5 billion will be invested nationwide. Connecticut will receive $8 million this year alone. Public Transit – As part of the largest investment in public transit in our nation’s history, Connecticut will receive over $1
9734	Loaded Language	Our current system is broken. With backlogs lasting years, millions of people are kept from reuniting with their family members or contributing to our economy. In the immigration process, many more are deprived of the basic legal rights that our Constitution enshrines
18180	Loaded Language	There is no denying that Climate Change and the rise in global temperatures results in extreme ecological changes. As a member of the Congressional Safe Climate Caucus, Congresswoman Adams is pushing for strong and proactive environmental policies that combat climate change, curb pollution, invest in renewable energy, and promote sustainable development solutions. She believes it's time to start investing in more renewable energy sources and develop new green technologies
13932	No Propaganda	 I have led efforts in Congress, including the Choice in Automobile Retail Sales (CARS Act), to prevent the implementation of electric vehicle mandates and ensure that Americans can choose the vehicle that is best suited for their unique needs. I am committed to advancing policies that uphold consumer choice for families across Michigan.Develop and Promote Alternative FuelsWe need to promote a healthier environment and spur the development and deployment of clean energy infrastructure without the ‘pie-in-the-sky' mandates, regulations, and massive federal government spending
2428	No Propaganda	978, Clean and Efficient Cars Act of 2019, to restore the Obama-era tailpipe emission and fuel economy standards rollback by the Trump Administration.In March 2021, she led a letter with 70 of her colleagues urging the Biden Administration to take action to reinstate California’s Clean Air Act waiver and restore the Obama-Biden tailpipe emission and fuel economy standardsIn July of 2021, she led a letter a follow up letter with 130+ of her colleagues to reiterate the importance of reinstating the California authority to set its own vehicle emission standardsIn October of 2021 she led a letter to President Biden urging his Administration to adopt the strongest proposal for new tailpipe emission standards. The new tailpipe emissions rule announced in December of 2021 incorporated many of the policies that the Congresswoman had urged for over the past years
8276	No Propaganda	R. 748 is an important opportunity for Congress to support high-quality health care and the employers that provide it. In recent years, deductibles in ESI plans have risen considerably while costs have continued to grow
