ID	Label	Text
6944	No Propaganda	I filed an amicus brief defending the Second Amendment before the Supreme Court in the case of New York State Rifle and Pistol Association v. Bruen. For the last century, New York’s mandates have banned Americans from carrying a firearm outside of their home unless a public safety bureaucrat determines they have “proper cause
11774	No Propaganda	Throughout his career, Congressman Mrvan has worked to identify federal, state, local, private and nonprofit resources that allow Northwest Indiana residents to get a good-paying job, take care of their family, and succeed in a career that allows them to have a good quality of life. In the 119th Congress, he will continue to use his years of experience to work with all stakeholders to create more economic opportunities for everyone and help retain and attract investments to Indiana’s First Congressional District.Rep
5074	Name Calling	 It would simply require that millionaires and billionaires pay the same Social Security taxes as everyone else. Fighting for Health Care Congressman Sherman voted against the Republican cuts to the federal health insurance program in the “One Big Ugly Bill” recently signed by President Trump. The recently passed changes will force an estimated 17 million Americans to lose their health care coverage and targets Medicaid funding by creating a web of new limits on state funding and increasing patients’ out-of-pocket spending
8176	Appeal to Fear	American College of Emergency Physicians: “Nearly every emergency physician has been assaulted or threatened on the job and the problem is only getting worse. Health care workers should be able to focus on saving lives without fearing for their safety. ACEP is deeply grateful to Rep
13218	No Propaganda	R. 2743, the Raise the Wage Act, proposes incrementally increasing the federal minimum wage to $17 per hour by 2030.H
11344	No Propaganda	This law lowers premium costs for small businesses and families and, beginning in 2014, provides coverage to over 30 million Americans. It improves quality and helps to eliminate fraud and abuse. It protects and even adds Medicare benefits for seniors and people with disabilities, while expanding access to home- and community-based long-term care services
12673	Loaded Language	 In order to make meaningful progress, we need to make sure that all of the stakeholders have a seat at the table, and that everyone has a voice in repairing our beautiful estuary. If we don't receive "buy-in" from all active partners, we can never achieve the goal of a robust environment that our children will be able to appreciate. This does mean that other upstream states whose waters flow into the Bay must also do their part, and the federal government is a logical choice to make sure that happens
16526	No Propaganda	R. 4515 – Small Business Development Center Cyber Training Act of 2021 H.R
9705	Loaded Language	Today, over half of the girls have been released from Boko Harem, but the religious persecution and trauma they experienced at the hands of these terrorists will be with them forever. Congresswoman Wilson will continue to stand against organizations that attempt to take away religious and personal freedoms and work for the safe return of the Chibok girls who continue to undergo oppression at the hands of Boko Harem.TaiwanIn 2015, Congresswoman Wilson had the privilege to visit Taiwan and meet with President Ma Ying-jeou to discuss the government’s efforts and achievements in promoting Republic of China and US relations and cross-strait ties as a member of the Congressional Taiwan Caucus
20939	No Propaganda	International travel guidance issued by the Department of State is available here.State Department and specific country advisories are listed here.If you have symptoms of coronavirus – fever, cough, shortness of breath – and have been in close contact with a person known to have coronavirus or have recently traveled from an area with widespread or ongoing community spread of coronavirus, make sure to contact your health care provider immediately
4423	Loaded Language	 We passed the REMOVE Copays Act so we can reduce out-of-pocket expenses for vets seeking MH or substance abuse treatment by allowing vets to attain copay-free services through VA and community providers for their first three outpatient visits each year. We made landmark progress to protect survivors of sexual violence, by directing the VA to work with agencies to do studies on outcomes from VA examinations and on mental health conditions related to military sexual trauma. We passed the GI Bill Guard and Reserve Parity Act that ensures that reservists get credit for their drills toward 9/11 GI Bill benefits and obtaining VA home loans
20781	Loaded Language	Our region and our state depend on the conservation of nature to grow and prosper. I’m committed to keeping oil rigs off our coast permanently to ensure South Carolina will never experience the crippling devastation others have and that we do all we can to protect our environment and wildlife.For more information concerning work and views related to Offshore Drilling, please contact our office
20743	Loaded Language	We will champion policies that lower taxes, alleviate the high cost of living, and provide meaningful change to American families. In our office, the Lowcountry will always come first, as we strive to uphold the values and principles that make our nation great.For more information concerning work and views related to Jobs and the Economy, please contact our office
16046	Loaded Language	As a Co-Chair of the Congressional Equality Caucus, I will fight to get the Equality Act signed into law, which would prohibit discrimination on the basis of sexual orientation and gender identity. I will also continue to stand up to nationwide efforts to roll-back the progress made by the LGBTQ community. America's strength and potential is rooted in our nation’s diversity, and it is time that our laws reflect that
10566	Loaded Language	Childcare / Early Childhood Education Congresswoman Ramirez believes we must resist any and all cuts to early learning programs and invest in child care funding to support families, children, and essential childcare workers. She is a proud supporter of programs like Head Start and a cosponsor of bills like the Child Care Stabilization Act, the Expanding Child Care Access Act of 2024, and Ramirez believes we must ensure affordable, high-quality, and reliable child care and early learning programs are accessible to all families! Funding for Public Education Congresswoman Ramirez believes every community should have the necessary resources to ensure safe, resilient, high-quality schools. That’s why Ramirez is a proud cosponsor of bills like H
7322	Loaded Language	This landmark legislation is directly lowering health costs, including fulfilling his long-time priority of allowing Medicare to negotiate lower drug prices. The Inflation Reduction Act:Lowers Drug Prices through Negotiation – For the first time ever, Medicare will be empowered and required to negotiate lower drug prices. Beginning in 2026, the first ten drugs selected for negotiation will see a price reduction of 39% to 79%, resulting in a collective $1
15458	Name Calling	From Atchison County, where I live, to Marion County clear across the state, I speak with people who are worried about our out of control government. I hear stories about how government bureaucrats are becoming increasingly aggressive, and the biggest bully of the bunch, by far, is the EPA.First the EPA tried to regulate farm dust, which would drive up costs on family farms
4463	Loaded Language	Communities like ours in the High Desert and Inland Empire desperately need better access to affordable and quality healthcare. California - and our rural district in particular - is unique. A one-size-fits-all Washington approach does not work for the disparate communities like ours
3306	No Propaganda	 3053, the American Coasts and Oceans Protection Act, to prohibit any new leasing for the exploration, development, or production of oil or natural gas along the Southern California coast, from San Diego to the northern border of San Luis Obispo County. I cosponsored H.R
3161	Loaded Language	890, the Gym Mitigation and Survival (GYMS) Act, a bipartisan bill to provide much-needed assistance to gyms, fitness studios, and fitness facilities that have struggled as a result of the COVID-19 pandemic. The GYMS Act would provide $30 billion to the Small Business Administration to disburse grants to eligible fitness businesses. Facilities would be required to certify economic needs and recipients can use funds for expenses such as payroll, rent and mortgage obligations, utility payments, worker protection expenditures, and more
18864	Loaded Language	I oppose legislation that seeks to institute a trans and intersex sports ban – it's transphobic, and our children should be allowed to play sports without fear of invalidation or discrimination. As a member of the Equality Caucus, I remain dedicated to ensuring equal protection under the law for all LGBTQI+ individuals in Northeast Ohio and across the country.  Voting Rights The right to vote is a sacred, hard-won freedom
13783	Loaded Language	Eliminating Wasteful Foreign Aid:  Offered an amendment to H.R. 1735, the National Defense Authorization Act (NDAA), to provide the Special Inspector General for Afghanistan Reconstruction with the ability to conduct effective audits to ensure the proper use of the remaining American taxpayer dollars appropriated for reconstruction efforts
3806	Loaded Language	 Enrico Moretti, a Berkeley economist, found that for every tech job, five other new jobs are created. This multiplier effect creates important service jobs such as baristas, doctors, lawyers, and dry cleaners, among many others. I believe that working families are the backbone of this country, and that's why I have made lifting them up a central part of my agenda
15105	Loaded Language	I will always be committed to keeping taxes low for hardworking families and getting government out of the way so that Americans can do what they do best: work hard and innovate in pursuit of their dreams.With the Republican Tax Cuts and Jobs Act being signed into law, we are finally delivering bigger paychecks, fairer taxes, and more jobs for the people of Missouri. It has set the stage for our families and our economy to prosper, and businesses across the country have reacted with pay raises and improved employee benefits that directly enrich American workers
4234	No Propaganda	One such area of cutting edge U.S. scientific research is the National Ignition Facility's (NIF) fusion experiments at the Lawrence Livermore National Laboratory
20588	No Propaganda	The funding would be used to support local law enforcement efforts to enforce laws and address violent crime.Financial disclosure letterAffordable Housing in Wilkinsburg, PennsylvaniaSubcommittee/Agency/Account: Transportation, Housing and Urban Development, Department of Housing and Urban Development, Economic Development InitiativesRecipient: ACTION-Housing, Inc.Address: 611 William Penn Place, Suite 800, Pittsburgh, Pennsylvania 15217Requested amount: $2,000,000Description: To support a mixed-use development located in the heart of the Wilkinsburg commercial district
13074	Loaded Language	 Relevant LegislationI am proud to have either sponsored or co-sponsored the following legislation and I will work tirelessly towards passage of this legislation in the 119th Congress. H.R
22456	Loaded Language	I continue to press the Centers for Medicare & Medicaid Services (CMS) to use its authority to stop these overpayments and improve delivery of benefits. I am also working on legislation to address many of these issues.Separately, my AARP-endorsed bipartisan NOTICE Act was signed into law
5356	Loaded Language	America's agricultural industry is one of the most capable in the world and their ability to compete and thrive depends on the freedom for them to produce in a fair marketplace and without being severely hindered by conditions beyond their control. Americans need their government to ensure that they will continue to have an affordable, safe and reliable food supply.
5427	Appeal to Fear	R. 319) which would do just that and help cut off the job magnet that draws people here illegally. I also believe that to truly secure our homeland, we must stop the flow of illicit narcotics into our communities
2815	Loaded Language	As all 73 million baby boomers approach retirement age by 2030, Congressman DeSaulnier is focused on making sure we provide every retiree with the financial security they deserve. He has been a strong advocate for the protection of safety net programs throughout his time in government service and continues to be a champion for seniors in Congress.By the Numbers 67 million Americans are covered by Medicare
4250	Loaded Language	Under the American Recovery and Reinvestment Act (ARRA), she supported the largest clean energy investment in American history which has helped our country nearly double our renewable power generation since 2008.Reducing our Greenhouse Gas EmissionsZoe has supported efforts to reduce greenhouse gas emissions and increase efficiency standards for cars, trucks, and buildings. By increasing efficiency, we can reduce overall consumption and slow emissions that lead to climate change
