ID	Label	Text
15458	Name Calling	From Atchison County, where I live, to Marion County clear across the state, I speak with people who are worried about our out of control government. I hear stories about how government bureaucrats are becoming increasingly aggressive, and the biggest bully of the bunch, by far, is the EPA.First the EPA tried to regulate farm dust, which would drive up costs on family farms
12531	Loaded Language	4 billion for the construction of three Navy destroyers and $150 million for research and development to pave the way for the next generation of Bath-built ships. Jared uses his position on the Armed Services Committee to support these Maine institutions and their workers at the federal level —– including bringing congressional leaders to Bath —– ensuring they have access to the resources they need and helping create a level playing field to compete for federal contracts. Jared understands that nation-building is not in America’s best interests, and has worked to reaffirm Congress’ authority — and the executive branch’s limits — over the ability to start wars
8067	No Propaganda	house.gov/files/IRS%20Letter.pdf To view the IRS webinar from several years ago on the casualty loss deduction and net operating losses due to crumbling foundations, click here:https://www
17939	Loaded Language	 For this reason, I am ardently in favor of expanding school choice to give parents the freedom to choose the best educational path for their children. Whether you choose traditional district public schools, private schools, public charter schools, online schools, or homeschooling, every parent should have an active role in dictating the direction of their childrenâ€™s education. Simply put, the quality of a childâ€™s education should not be determined by their zip code or financial status
2894	Loaded Language	For teachers and school leaders, it is critical to increase access to the necessary tools to do their jobs and create working conditions that support student success, which includes providing much-needed resources, offering professional development, targeted training, and the time to collaborate with students and one another.Improve No Child Left Behind: There is a clear need to improve and strengthen NCLB to reflect current best educational practices, protect students' rights, and guarantee a world-class education to all students regardless of background or zip code. Democrats want to see reform that:Ensures states set high-standards and goals to ensure students graduate from high school and college career ready
5669	No Propaganda	 In 2015, provisions inspired by my legislation were included in Minute 320 – an updated provision of a treaty between the United States and Mexico. This provision helped create a framework for binational cooperation to address the sewage pollution. This provision also laid the foundation for a later, 2022 provision – Minute 328 – that built on these efforts by identifying a list of projects both countries agreed upon to address the sewage and expand treatment facilities
14829	Loaded Language	I'm committed to pushing changes that ensure those protections for workers in every industry and income bracket throughout this country. That's why I am a staunch supporter of raising the minimum wage, which will reverse the stagnant growth workers have been struggling with for decades as they try to keep up with the ever-increasing cost of living. But low wages aren't the only thing holding working families back
14133	No Propaganda	824, Telehealth Benefit Expansion for Workers Act 02/06/2023 – Sponsored: H.R. 853, Social Security and Medicare Lock-Box Act08/11/2023 – Cosponsored: H
12865	Loaded Language	The earlier children start learning, the better. Early education promotes childhood development, often a determinant of health for the rest of someone’s life. In Maryland, we understand that reaching and teaching kids early is critical to setting them on the right path
18080	No Propaganda	I've led the charge to advance national concealed carry reciprocity. I introduced the Concealed Carry Reciprocity Act (H.R
6944	No Propaganda	 I filed an amicus brief defending the Second Amendment before the Supreme Court in the case of New York State Rifle and Pistol Association v. Bruen.Â For the last century, New Yorkâ€™s mandates have banned Americans from carrying a firearm outside of their home unless a public safety bureaucrat determines they have â€œproper cause
17319	Loaded Language	In January of 2023, I took to the floor of the House of Representatives to call on Central Hudson’s CEO to resign, which he did only days later. I didn’t stop there - I organized one-on-one meetings for ratepayers to get direct assistance from company representatives in a workshop series, repeatedly called for Central Hudson’s rate increase to be rejected, and held press conferences to continue to hold the company’s feet to the fire and demand that they make whole all of the Hudson Valley families who they wronged. I’m proud that this year, these efforts resulted in a $60 million settlement that includes direct relief for ratepayers
20743	Loaded Language	We will champion policies that lower taxes, alleviate the high cost of living, and provide meaningful change to American families. In our office, the Lowcountry will always come first, as we strive to uphold the values and principles that make our nation great.For more information concerning work and views related to Jobs and the Economy, please contact our office
18834	No Propaganda	 190: The Produce the Note Act. Congresswoman Kaptur's bill prohibits foreclosure proceedings unless the person commencing the foreclosure can identify the actual holder of the mortgage note to the satisfaction of the court. The bill also requires the person commencing the foreclosure to notify the mortgagor, in writing, not less than five days before any foreclosure action is begun
22726	No Propaganda	" The march laid the groundwork for monumental civil rights legislation, such as the Voting Rights Act and the Civil Rights Act.When Civil Rights Act of 1964 was passed the following year, it became the most comprehensive legislation to achieve equal rights and protect citizens from discrimination.Section 703 (a) of the Act made it unlawful for an employer to ""fail or refuse to hire or to discharge any individual, or otherwise to discriminate against any individual with respect to his compensation, terms, conditions or privileges or employment, because of such individual's race, color, religion, sex, or national origin"
2085	Name Calling	Cummings Lower Drug Costs Now Act. The landmark legislation empowers the federal government to negotiate the price of prescription drugs and caps Medicare beneficiaries’ out-of-pocket costs. The House-passed legislation stops drug companies from ripping off Americans while charging other countries less for the same drugs by limiting the maximum price for any negotiated drug and making the lower drug prices negotiated by Medicare available to Americans with private insurance
16559	Appeal to Fear	Securing our border is a national security imperative. Under my leadership, the Committee will continue working to stop the flow of fentanyl into our communities, dismantle human trafficking networks, and strengthen enforcement against illegal immigration.Long Islanders also know firsthand the devastation caused by natural disasters
5946	Loaded Language	House of Representatives.A historic moment… The House has voted to approve Rep. DeGette's Colorado Wilderness Act five times in the past three years, first in February 2020 as part of DeGette’s Protecting America’s Wilderness and Public Lands Act and most recently as part of the National Defense Authorization Act, which the House approved in July 2022
14105	Loaded Language	Â I haveÂ introducedÂ legislation,Â the Social Security and Medicare Lock-Box Act, which would protect future surpluses by creating a lockbox that prevents these funds from being spent on other federal programs.Promoting Medical Research and Life-Saving CuresGroundbreaking research and innovation are happening all around us, particularly in health care.Â  Unfortunately, existing government rules cannot keep pace with these scientific developments
22043	Loaded Language	Crockett defends the belief that a good-paying, fulfilling job is a human right.HousingAs Texas continues to exponentially grow, various housing supply must be created so that all residents can lead the life they want to live, without insurmountable barrier. Congresswoman Crockett is a proponent of an array of housing options, so all adults are able to find, and afford, they home they so choose
22897	Loaded Language	Sanders (1964), where the Court states:No right is more precious in a free country than that of having a voice in the election of those who make the laws under which, as good citizens, we must live.  Other rights, even the most basic, are illusory if the right to vote is undermined.Congressman Scott is an ardent supporter of the Voting Rights Act and was instrumental in the passage of the Fannie Lou Hamer, Rosa Parks, Coretta Scott King, César Chávez, Barbara C
11706	Loaded Language	Serving as a local meteorologist for over 20 years required me to be a trusted neighbor to the people in Central and Northwestern Illinois. In Congress, I’m still working to be a trusted voice for the people of Illinois’ 17th District. That means being willing to work with anyone – Republican or Democrat – to make sure everyone in my District has their needs met
11736	No Propaganda	S. Department of Veterans Affairs (VA) Police Officers and the VA Acquisition Review Board Act to create a formal structure for the review and approval of major acquisition programs at VA.  Additionally, Rep
4367	No Propaganda	S. Department of Health and Human Services (HHS), through the Centers for Medicare & Medicaid Services (CMS), announced the first ten drugs covered under Medicare Part D selected for negotiation. The negotiations with participating drug companies will occur in 2023 and 2024, and any negotiated prices will become effective beginning in 2026
6791	Appeal to Fear	When I was sworn into Congress, I pledged to support and defend the Constitution of the United States—including the Second Amendment. The Founders understood that the right to keep and bear arms is necessary to the security of a free state, so they drafted the Bill of Rights to ensure that the government did not mess with our sacred liberties. Despite the clarity of the Second Amendment, leftists continue to try and trample on our enumerated rights
11794	No Propaganda	Congressman Mrvan serves on the House Appropriations Subcommittee on Commerce, Justice, and Science.  Through this Subcommittee, he will focus on providing adequate and appropriate funds, oversight, and direction for the International Trade Commission, which is responsible for defending our domestic manufacturing workforce from unfair trade practices, the Department of Commerce, which promotes economic development and job creation programs, and the Department of Justice, which invests in local first responder and law enforcement agencies.Congressman Mrvan also serves on the House Appropriations Subcommittee on Energy and Water Development
23201	Loaded Language	" I believe in an ""all-of-the-above"" approach to energy production, including hydropower, wind, solar, nuclear, natural gas, and oil, to ensure reliable, safe, and affordable power. I oppose carbon taxes and cap-and-trade programs, since they increase costs without delivering significant benefits."
23500	Loaded Language	Bills such as the Rebuild America’s Schools Act would make a $100 billion investment in upgrading America’s schools. Because federal resources can only be used for school repair costs in cases of disaster, investments in public school construction and maintenance has dwindled, leaving many students without safe and healthy school facilities. I am also an advocate of programs that help prepare students for their next steps after high school such as the TRIO program, which helps students from disadvantaged backgrounds to prepare for and excel in college
17738	No Propaganda	 662 The Report and Educate About Campus Hazing (REACH) Act To amend Higher Education Act to require academic institutions to disclose hazing incidents.Note: The outlined legislation above was introduced during the 116th Congress.
10126	No Propaganda	""" By augmenting its marked vehicle fleet, the GPD will ensure a more reliable and efficient response to daily safety and emergency incidents, mitigating potential shortcomings and enhancing community safety. Committee has the opportunity with this project to vastly improve Guam's law enforcement apparatus.Â See attachment for Nexus Letter & Financial Disclosure:"""
